feature,importance
B_10_first,0.1729365815371182
B_10_last,0.2754828135587031
B_10_last_first_diff,0.16971948925303204
B_10_last_mean_diff,0.34879667972333106
B_10_max,0.18918522895705883
B_10_max_min_diff,0.09109408860785864
B_10_mean,0.19466605834181766
B_10_min,0.08118685304659733
B_10_std,0.1100072263442873
B_10_sum,0.11877503802873705
B_11_first,0.01962237141517337
B_11_last,0.3336066812155295
B_11_last_first_diff,0.10430530090569959
B_11_last_mean_diff,0.7085985350127706
B_11_max,0.10915624002249402
B_11_max_min_diff,0.10333066264956203
B_11_mean,0.0858616928988139
B_11_min,0.14633796853025205
B_11_std,0.035799735484004884
B_11_sum,0.1696442074192236
B_12_first,0.13170218752116158
B_12_last,0.07520630056313105
B_12_last_first_diff,0.0987802295558905
B_12_last_mean_diff,0.11396525064472451
B_12_max,0.11079286549134373
B_12_max_min_diff,0.08949413596337227
B_12_mean,0.17187948613396614
B_12_min,0.036286411813293784
B_12_std,0.047192023718889434
B_12_sum,0.2732695103857055
B_13_first,0.14228704054362018
B_13_last,0.031601167916231875
B_13_last_first_diff,0.030424186668590585
B_13_last_mean_diff,0.049153368539782256
B_13_max,0.1060707379028434
B_13_max_min_diff,0.057469205223885614
B_13_mean,0.188551499600132
B_13_min,0.14067327805244192
B_13_std,0.04791624716187038
B_13_sum,0.16710860057222976
B_14_first,0.057416159128863276
B_14_last,0.10421978320244804
B_14_last_first_diff,0.15029819277790663
B_14_last_mean_diff,0.8129938107958048
B_14_max,0.08582271015608924
B_14_max_min_diff,0.04452362569360023
B_14_mean,0.10580111649320564
B_14_min,0.1530130474220122
B_14_std,0.037699133582206
B_14_sum,0.08202362996733961
B_15_first,0.07695013085399476
B_15_last,0.07084416804676734
B_15_last_first_diff,0.13431012647210933
B_15_last_mean_diff,0.30617584062867814
B_15_max,0.09096173795767092
B_15_max_min_diff,0.0794585337766117
B_15_mean,0.022624055475387275
B_15_min,0.06152964574575509
B_15_std,0.038995178960190405
B_15_sum,0.025222467104417185
B_16_first,0.04644349724599496
