feature,importance
B_10_mean,1.2011664991164936
B_11_mean,0.7239240546840784
B_12_mean,0.7742511310499693
B_13_mean,0.9576231124450995
B_14_mean,0.7310069494668447
B_15_mean,0.5064910814520396
B_16_mean,1.0032914503384727
B_17_mean,1.88316450681402
B_18_mean,2.1141576523698253
B_19_mean,1.54054684290322
B_1_mean,1.062062023988649
B_20_mean,0.8450352103953126
B_21_mean,1.0160979016134721
B_22_mean,0.7763081836347272
B_23_mean,0.9392384282951427
B_24_mean,0.528411631374487
B_25_mean,0.49477937275754186
B_26_mean,2.009115859267676
B_27_mean,0.5310466349702883
B_28_mean,0.7390993139248677
B_29_mean,0.20699906218498954
B_2_mean,2.5098805007129927
B_30_mean,0.4999000066010694
B_30_te_mean,0.4216393274647843
B_31_mean,0.012224407250323997
B_32_mean,0.18930758260750044
B_33_mean,1.3448087897643095
B_36_mean,0.6562477981854417
B_37_mean,1.2252170352353084
B_38_mean,1.0940874357296053
B_38_te_mean,1.1467514809436645
B_39_mean,0.06452171566377632
B_3_mean,0.9272077722754032
B_40_mean,1.4318822828038356
B_41_mean,0.07944533143754154
B_42_mean,0.0039345053276412184
B_4_mean,1.29009502599442
B_5_mean,1.275379483884952
B_6_mean,0.80586489188607
B_7_mean,1.268113738317359
B_8_mean,0.8850121504094722
B_9_mean,1.1586004805950625
D_102_mean,0.6316076025750456
D_103_mean,0.16198598927937485
D_104_mean,0.4284811480169489
D_105_mean,0.6573752172322429
D_106_mean,0.28577324709201213
D_107_mean,0.1787344760630736
D_108_mean,0.11112771055177467
D_109_mean,0.0024685262374221206
D_110_mean,0.14827317800651146
D_111_mean,0.04199554623783193
D_112_mean,3.5453812195519125
D_113_mean,0.5512147236289145
D_114_mean,0.12749010875949418
D_114_te_mean,0.29331119884490225
D_115_mean,0.3772085061299099
D_116_mean,0.3140898193880759
D_116_te_mean,0.1777980003793428
D_117_mean,0.4175454226505307
D_117_te_mean,0.33413520355298865
D_118_mean,0.40582347368875604
D_119_mean,0.38041534488853496
D_120_mean,0.4503172864086124
D_120_te_mean,0.41492514943132225
D_121_mean,0.5250272590402608
D_122_mean,0.2943564663908435
D_123_mean,1.5592930590044074
D_124_mean,0.522710799058968
D_125_mean,0.7138940633605513
D_126_mean,0.1601546869313106
D_126_te_mean,0.33876499009178457
D_127_mean,0.4012802300982816
D_128_mean,0.5971804218621577
D_129_mean,0.4709066294415708
D_130_mean,0.34985185743464253
D_131_mean,0.4835227872588398
D_132_mean,0.21846303629517447
D_133_mean,0.6145332390328742
D_134_mean,0.33118026731679706
D_135_mean,0.10156472014611719
D_136_mean,0.2111154735710513
D_137_mean,0.12512734519658425
D_138_mean,0.09321890571435346
D_139_mean,0.09473726600423012
D_140_mean,0.23198040353338642
D_141_mean,0.20697488050768964
D_142_mean,0.24279039642463013
D_143_mean,0.1754664636223237
D_144_mean,0.5987714178102465
D_145_mean,0.23725469925275486
D_39_mean,2.8827822153006695
D_41_mean,2.1909099455630416
D_42_mean,1.3663787776151342
D_43_mean,1.095262867024673
D_44_mean,0.9038996716121058
D_45_mean,0.7829308892736409
D_46_mean,1.528795008471231
D_47_mean,0.8345307992054891
D_48_mean,1.093326890165376
D_49_mean,0.5025762677887725
D_50_mean,0.6585044989191106
D_51_mean,0.9363626820912935
D_52_mean,0.9640979284860719
D_53_mean,1.094342617816356
D_54_mean,3.4481250626761866
D_55_mean,1.0146748674736907
D_56_mean,0.49067755855847567
D_58_mean,0.8449640069629593
D_59_mean,0.8515944795478103
D_60_mean,0.7741283879836551
D_61_mean,1.815505236788918
D_62_mean,0.8294152878531338
D_63_mean,0.08799791549229413
D_63_te_mean,0.09391655193728791
D_64_mean,0.31756176132453207
D_64_te_mean,0.5790652249764329
D_65_mean,1.9657751549051463
D_66_mean,0.11058553234171847
D_66_te_mean,0.1473224129205277
D_68_mean,0.38110092436194964
D_68_te_mean,0.4087120685383797
D_69_mean,0.5433017703635701
D_70_mean,0.6590054234364287
D_71_mean,0.6489522921379001
D_72_mean,0.23764179824997309
D_73_mean,0.018649541167129146
D_74_mean,0.8627880584803789
D_75_mean,1.3888863354487593
D_76_mean,0.15551450758542154
D_77_mean,1.1481977126499068
D_78_mean,0.28584864586014014
D_79_mean,0.24577795203151145
D_80_mean,0.31767403005092404
D_81_mean,0.27738249275480137
D_82_mean,0.1363741028643398
D_83_mean,0.3129212281387767
D_84_mean,0.23522148105916132
D_86_mean,0.02117155756573143
D_87_mean,0.00247441976631028
D_88_mean,0.015876630187649454
D_89_mean,0.04475967730353221
D_91_mean,0.502412799768909
D_92_mean,0.4349995347602619
D_93_mean,0.026210517346346343
D_94_mean,0.004559949652143699
D_96_mean,0.08510619822980058
P_2_mean,3.570036806648953
P_3_mean,1.6291904484806865
P_4_mean,0.5088999294156125
R_10_mean,1.2651051075337998
R_11_mean,1.1360087629870965
R_12_mean,0.2800903845825954
R_13_mean,0.15199401993047504
R_14_mean,0.19977893381644754
R_15_mean,0.2097127000952776
R_16_mean,0.3934106464816279
R_17_mean,0.0243592641376864
R_18_mean,0.00304194704312982
R_19_mean,0.05863704336171581
R_1_mean,3.1892298990815435
R_20_mean,0.12238235880854753
R_21_mean,0.21846106265497633
R_22_mean,0.13713281966902885
R_23_mean,0.013926711901799546
R_24_mean,0.05341498513159736
R_25_mean,0.034824360226108964
R_26_mean,0.10348449274925269
R_27_mean,0.7344456100895151
R_28_mean,0.008499419377141482
R_2_mean,1.8843561862298568
R_3_mean,0.7442233885645241
R_4_mean,0.35308970536489165
R_5_mean,0.756445928148246
